,company_name,address,category,telephon
273,اسكان جروب للاستثمار والتسويق العقارى,169 ابراج لامار ش جسر السويس  جسر السويس  القاهرة.,, +201229336351 
274,اسكان جروب للاستثمار والتسويق العقارى,169 ابراج لامار ش جسر السويس  جسر السويس  القاهرة.,, +20226987132 
275,اسكان جروب للاستثمار والتسويق العقارى,169 ابراج لامار ش جسر السويس  جسر السويس  القاهرة.,, +201009279905
276,اسكان للاستثمار,21 ش ابو العتاهية  امتداد ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,,+20222701127 
277,اسكان للاستثمار,21 ش ابو العتاهية  امتداد ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,, +20222712952 
278,اسكان للاستثمار,21 ش ابو العتاهية  امتداد ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,, +201002877766 
279,اسكان للاستثمار,21 ش ابو العتاهية  امتداد ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,, +201001341915
280,اسكان للاستثمار العقارى,6 ش 33  الحى الرابع  المقطم  القاهرة.,,+201121165311 
281,اسكان للاستثمار العقارى,6 ش 33  الحى الرابع  المقطم  القاهرة.,, +201007562410 
282,اسكان للاستثمار العقارى,6 ش 33  الحى الرابع  المقطم  القاهرة.,, +201277125451 
283,اسكان للاستثمار العقارى,6 ش 33  الحى الرابع  المقطم  القاهرة.,, +201159887078 
284,اسكان للاستثمار العقارى,6 ش 33  الحى الرابع  المقطم  القاهرة.,, +20229827416
285,اسكانك,منطقة 63 متر  مدينة الشروق  القاهرة.,,+201287400035 
286,اسكانك,منطقة 63 متر  مدينة الشروق  القاهرة.,, +201091214630
287,اسكن لدعاية الاستثمار العقارى,13 ش عباس العقاد  المنطقة الاولى  مدينة نصر  القاهرة.,,+20224052888
288,اسكندرية الفرعونية للاستثمار العقارى,25 أ عمارات العبور - طريق صلاح سالم  مدينة نصر  القاهرة.,,+20224010848 
289,اسكندرية الفرعونية للاستثمار العقارى,25 أ عمارات العبور - طريق صلاح سالم  مدينة نصر  القاهرة.,, +20224018582
290,اسلام للاستثمار والتسوبق العقارى,المجاورة الخامسة - الحى الثالث  مدينة بدر  القاهرة.,,+201009936480 
291,اسلام للاستثمار والتسوبق العقارى,المجاورة الخامسة - الحى الثالث  مدينة بدر  القاهرة.,, +201229496019
292,اسلامكو للاستثمار العقارى,ميدان الاسكندرية  مدينة السلام  القاهرة.,,+20222737154
293,اسلامكو للعقارات,27 ش عبده ابراهيم الدسوقى  عزبة النخل  القاهرة.,,+201285569160
294,اسماعيل عبد المجيد عطوة,177 ش محمد نجيب  المرج  القاهرة.,,+201005353575
295,اسيا للعقارات,5 ابراج العمار بلازا، ش حافظ رمضان، متفرع من ش مكرم عبيد  المنطقة السادسة  مدينة نصر  القاهرة.,,+20223492889 
296,اسيا للعقارات,5 ابراج العمار بلازا، ش حافظ رمضان، متفرع من ش مكرم عبيد  المنطقة السادسة  مدينة نصر  القاهرة.,, +201092854441
297,اسيتس للاستثمار العقارى,15 ش الميرغنى - روكسى - الدور 7  مصر الجديدة  القاهرة.,,+20227355776
298,اسيك العقارية - التركى جروب,15 ش الطاقة  مدينة نصر  القاهرة.,,+20224721548 
299,اسيك العقارية - التركى جروب,15 ش الطاقة  مدينة نصر  القاهرة.,, +201113945291
300,اشراق مصر العقارية,ابراج دارنا - الطريق الدائرى  زهراء المعادى  المعادى  القاهرة.,,+201099996006 
301,اشراق مصر العقارية,ابراج دارنا - الطريق الدائرى  زهراء المعادى  المعادى  القاهرة.,, +20223103616 
302,اشراق مصر العقارية,ابراج دارنا - الطريق الدائرى  زهراء المعادى  المعادى  القاهرة.,, +201099998895 
303,اشراق مصر العقارية,ابراج دارنا - الطريق الدائرى  زهراء المعادى  المعادى  القاهرة.,, +201099997119
304,اشراقة للاستثمار العقارى,9 ش امين الريحانى  متفرع من ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,,+20223548188 
305,اشراقة للاستثمار العقارى,9 ش امين الريحانى  متفرع من ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,, +201000053472 
306,اشراقة للاستثمار العقارى,9 ش امين الريحانى  متفرع من ش ابراهيم نوار  المنطقة السادسة  مدينة نصر  القاهرة.,, +20223549188
307,اشرف للاستثمار العقارى,114 ش جسر السويس  الزيتون  القاهرة.,,+201117749400
308,اشرف للخدمات والعقارات,1 عمارات الضباط - ش 306  المعادى الجديدة  المعادى  القاهرة.,,+201116224494
309,اصول,28 عمارات الشرطة -  طره  القاهرة.,,+20227004929 
310,اصول,28 عمارات الشرطة -  طره  القاهرة.,, +201221345503
311,اصول,طريق مصر حلوان الزراعى  المعادى  القاهرة.,,+201005288342 
312,اصول,طريق مصر حلوان الزراعى  المعادى  القاهرة.,, +201004695974
313,اصول البحر الاحمر للاستثمار العقارى وادارة المشروعات,مبنى 272 و 273 - ش التسعين الشمالى  التجمع الخامس  القاهرة الجديدة  القاهرة.,,+201099905775
314,اصول الدولية للاستثمار العقارى,19 ش الطيران  المنطقة الاولى  مدينة نصر  القاهرة.,,+201005565590 
315,اصول الدولية للاستثمار العقارى,19 ش الطيران  المنطقة الاولى  مدينة نصر  القاهرة.,, +201224843816 
316,اصول الدولية للاستثمار العقارى,19 ش الطيران  المنطقة الاولى  مدينة نصر  القاهرة.,, +20224048248
317,اصول للعقارات,مجمع البنوك - مكتب 203  مدينتى  القاهرة.,,+201111112613
318,اصول مصر,4 ش احمد فخرى متفرع من طريق النصر  مدينة نصر  القاهرة.,,+201066266935 
319,اصول مصر,4 ش احمد فخرى متفرع من طريق النصر  مدينة نصر  القاهرة.,, +201206699841 
320,اصول مصر,4 ش احمد فخرى متفرع من طريق النصر  مدينة نصر  القاهرة.,, +201118849643 
321,اصول مصر,4 ش احمد فخرى متفرع من طريق النصر  مدينة نصر  القاهرة.,, +201028066692
322,اصول مصر للعقارات,139 مساكن الشباب - محلية 4 -   التجمع الثالث  القاهرة الجديدة  القاهرة.,,+201114766271
323,اطلس للتسويق العقارى,  البنفسج 5  البنفسج  القاهرة الجديدة  القاهرة.,,+201010965987
324,اطلس للعقارات,2 ش اللواء احمد محمد على ناصية ش عبد الرحمن الرافعى - ميدان الحجاز  مصر الجديدة  القاهرة.,,+20221808372 
325,اطلس للعقارات,2 ش اللواء احمد محمد على ناصية ش عبد الرحمن الرافعى - ميدان الحجاز  مصر الجديدة  القاهرة.,, +201001574364
326,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,,+20224731841 
327,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,, +201002145873 
328,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,, +201002145874 
329,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,, +201001526362 
330,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,, +20224731840 
331,اعلام للتنمية وادارة المشروعات,5 ش مركز المعلومات  الحى التاسع  مدينة نصر  القاهرة.,, +20224731842
332,اعلام للمشروعات السياحية والتطوير العمرانى,5 ش جمال الدين دويدار  متفرع من ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,,+20226718136 
333,اعلام للمشروعات السياحية والتطوير العمرانى,5 ش جمال الدين دويدار  متفرع من ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,, +20226718134 
334,اعلام للمشروعات السياحية والتطوير العمرانى,5 ش جمال الدين دويدار  متفرع من ش عباس العقاد  الحى الثامن  مدينة نصر  القاهرة.,, +20226718135
335,اعمار الشرق,2 أ ابراج الفاروقية ش جسر السويس  الشقة 307  الدور 3  جسر السويس  القاهرة.,,+201099417021 
336,اعمار الشرق,2 أ ابراج الفاروقية ش جسر السويس  الشقة 307  الدور 3  جسر السويس  القاهرة.,, +20226517933
